BR;UF;CODIGO;LOCAL_INI;LOCAL_FIM;KM_INI;KM_FIM;EXTENSAO;SUPERFICIE;TR_COINCID;EST_COND;SUPERFICIE_ESTADUAL;ANO
116;SP;116BSP2530;ENTR BR-381;ENTR BR-050/272/374/381 (SÃO PAULO);226.4;231.2;4.8;DUP;381BSP0890;;;2009
116;SP;116BSP2550;ENTR BR-050/272/374/381 (SÃO PAULO);DIV MUNICIPAL SÃO PAULO/TABOÃO DA SERRA;231.2;262.9;31.7;DUP;;;;2009
116;SP;116BSP2560;DIV MUNICIPAL SÃO PAULO/TABOÃO DA SERRA;ENTR SP-234 (ITAPECIRICA DA SERRA);262.9;281.4;18.5;DUP;;;;2009
116;SP;116BSP2565;ENTR SP-234 (ITAPECIRICA DA SERRA);ENTR SP-228;281.4;286.2;4.8;DUP;;;;2009
116;SP;116BSP2570;ENTR SP-228;ENTR SP-057 (P/SIDERÚRGICA);286.2;315.5;29.3;DUP;;;;2009
116;SP;116BSP2575;ENTR SP-057 (P/SIDERÚRGICA);FIM DA PISTA DUPLA;315.5;331.4;15.9;DUP;;;;2009
116;SP;116BSP2587;FIM SERRA DO CAFEZAL;ENTR SP-165(A) (P/PEDRO TOLEDO);362.3;379.2;16.9;DUP;;;;2009
116;SP;116BSP2590;ENTR SP-165(A) (P/PEDRO TOLEDO);ACESSO MIRACATÚ;379.2;388.9;9.7;DUP;;;;2009
116;SP;116BSP2600;ACESSO MIRACATÚ;ENTR SP-222 (BIGUÁ);388.9;395.5;6.6;DUP;;;;2009
116;SP;116BSP2610;ENTR SP-222 (BIGUÁ);ENTR BR-478(A)/SP-165(B) (P/JUQUIÁ);395.5;408;12.5;DUP;;;;2009
116;SP;116BSP2630;ENTR BR-478(A)/SP-165(B) (P/JUQUIÁ);ENTR SP-139 (REGISTRO);408;438.7;30.7;DUP;478BSP0170;;;2009
116;SP;116BSP2650;ENTR SP-139 (REGISTRO);ENTR BR-478(B) (PARIQUERA-AÇU);438.7;456.7;18;DUP;478BSP0190;;;2009
116;SP;116BSP2670;ENTR BR-478(B) (PARIQUERA-AÇU);ENTR SP-193 (JACUPIRANGA);456.7;467.7;11;DUP;;;;2009
116;SP;116BSP2685;ENTR SP-193 (JACUPIRANGA);ENTR SP-287;467.7;540.5;72.8;DUP;;;;2009
116;SP;116BSP2700;ENTR SP-287;DIV SP/PR;540.5;557;16.5;DUP;;;;2009
116;PR;116BPR2710;DIV SP/PR (CAB NORTE PONTE S/ RIO PARDINHO);INÍCIO VARIANTE DO ALPINO(PISTA DIREITA);0;22.7;22.7;DUP;;;;2009
116;PR;116BPR2725;FIM VARIANTE DO ALPINO (PISTA DIREITA);REPRESA DO CAPIVARI;34.3;42.2;7.9;DUP;;;;2009
116;PR;116BPR2730;REPRESA DO CAPIVARI;ENTR PR-410 (GRACIOSA);42.2;59;16.8;DUP;;;;2009
116;PR;116BPR2740;ENTR PR-410 (GRACIOSA);INÍC CONT LESTE CURITIBA (QUATRO BARRAS);59;71.2;12.2;DUP;;;;2009
116;PR;116BPR2750;INÍC CONT LESTE CURITIBA (QUATRO BARRAS);ENTR PR-415 (P/PIRAQUARA);71.2;86;14.8;DUP;;;;2009
116;PR;116BPR2755;ENTR PR-415 (P/PIRAQUARA);ENTR BR-277(A);86;92.8;6.8;DUP;;;;2009
116;PR;116BPR2760;ENTR BR-277(A);ENTR BR-376(A);92.8;102.3;9.5;DUP;277BPR0038;;;2009
116;PR;116BPR2770;ENTR BR-376(A);ENTR BR-376(B)/476/277(B) (CURITIBA SUL/PINHEIRINHO);102.3;115.1;12.8;DUP;277BPR0041, 376BPR0470;;;2009
116;PR;116BPR2780;ENTR BR-376(B)/476/277(B) (CURITIBA SUL/PINHEIRINHO);FIM PISTA DUPLA;115.1;117.2;2.1;DUP;;;;2009
116;PR;116BPR9010;ACESSO CONT LESTE CURITIBA (ANT KM 71,1);ENTR PR-506 (QUATRO BARRAS (ANTIGO KM 75,7));0;4;4;DUP;;;;2009
116;PR;116BPR9020;ENTR PR-506 (QUATRO BARRAS (ANTIGO KM 75,7));ACESSO CONT NORTE CURITIBA (ANT KM 81,7);0;6.4;6.4;DUP;;;;2009
116;PR;116BPR9030;ACESSO CONT NORTE CURITIBA (ANT KM 81,7);ENTR BR-476 (CURITIBA NORTE/ATUBÁ (ANTIGO KM 88,3));0;6.7;6.7;DUP;;;;2009
116;RS;116BRS3090;ENTR RS-230 (ANA RECH);ENTR BR-453 (P/CAXIAS DO SUL);142.9;145.4;2.5;DUP;;;;2009
116;RS;116BRS3093;ENTR BR-453 (P/CAXIAS DO SUL);ACESSO LESTE CAXIAS DO SUL;145.4;150.7;5.3;DUP;;;;2009
116;RS;116BRS3100;ACESSO LESTE CAXIAS DO SUL;FIM DE PISTA DUPLA;150.7;152.8;2.1;DUP;;;;2009
116;RS;116BRS3170;ENTR RS-239 (P/CAMPO BOM);ENTR RS-240 (VILA SCHARLAU);231.9;240.2;8.3;DUP;;;;2009
116;RS;116BRS3190;ENTR RS-240 (VILA SCHARLAU);ENTR RS-118 (SAPUCAIA DO SUL);240.2;251.3;11.1;DUP;;;;2009
116;RS;116BRS3210;ENTR RS-118 (SAPUCAIA DO SUL);ENTR BR-386(A) (CANOAS);251.3;258.7;7.4;DUP;;;;2009
116;RS;116BRS3230;ENTR BR-386(A) (CANOAS);ENTR BR-290(A)/386(B) (PORTO ALEGRE);258.7;267.5;8.8;DUP;386BRS0370;;;2009
116;RS;116BRS3250;ENTR BR-290(A)/386(B) (PORTO ALEGRE);PONTE RIO GUAÍBA;267.5;272.3;4.8;DUP;290BRS0090;;;2009
116;RS;116BRS3260;PONTE RIO GUAÍBA;ENTR BR-290(B) (P/ELDORADO DO SUL);272.3;282.8;10.5;DUP;290BRS0100;;;2009
116;RS;116BRS3265;ENTR BR-290(B) (P/ELDORADO DO SUL);ENTR BR-290(B) (P/ARROIO DOS RATOS);282.8;288;5.2;DUP;290BRS0105;;;2009
116;RS;116BRS9050;ENTR BR-116;P/PORTO ALEGRE;0;3;3;DUP;;;;2009
230;AM;230BAM1990;FIM TRAVESSIA RIO MADEIRA (CRATO);HUMAITÁ;610.4;613.2;2.8;DUP;;;;2009
230;PA;230BPA1300;RIO ITACAIÚNAS;PERÍMETRO URBANO CIDADE NOVA;121.5;124.5;3;DUP;;;;2009
230;PI;230BPI0740;INÍCIO PISTA DUPLA (FRONTEIRAS);FIM PISTA DUPLA (FRONTEIRAS);17.7;18.1;0.4;DUP;;;;2009
230;PI;230BPI0860;INÍCIO PISTA DUPLA (OEIRAS);FIM PISTA DUPLA (OEIRAS);196.5;197.9;1.4;DUP;;;;2009
230;CE;230BCE0620;INÍCIO DA DUPLICAÇÃO;FINAL DA DUPLICAÇÃO;78.5;80.5;2;DUP;;;;2009
230;PB;230BPB0010;CABEDELO;JOÃO PESSOA;0;20.4;20.4;DUP;;;;2009
230;PB;230BPB0030;JOÃO PESSOA;ENTR BR-101(A);20.4;28.1;7.7;DUP;;;;2009
